"variant","age","ylo","yhi","cancer_type"
"U2AF1_S34F",36.685618729097,14912254590129.1,56507425243202.9,"AML"
"U2AF1_S34F",36.9096989966555,15207757526014.8,56728068031038.5,"AML"
"U2AF1_S34F",37.133779264214,15495458433134.3,56897400493804,"AML"
"U2AF1_S34F",37.3578595317726,15756514556990.1,57129501433156.6,"AML"
"U2AF1_S34F",37.5819397993311,16017482244534.1,57374037169428.8,"AML"
"U2AF1_S34F",37.8060200668896,16355147365061.2,57616599238541.8,"AML"
"U2AF1_S34F",38.0301003344482,16692160000539.8,57858726808474.5,"AML"
"U2AF1_S34F",38.2541806020067,17010566974070.7,58082567447069.6,"AML"
"U2AF1_S34F",38.4782608695652,17338991156996.2,58286854483391.2,"AML"
"U2AF1_S34F",38.7023411371237,17637227388289.3,58449471516980.8,"AML"
"U2AF1_S34F",38.9264214046823,17967249320947.9,58614076820127.7,"AML"
"U2AF1_S34F",39.1505016722408,18315925775255.3,58809420756520.2,"AML"
"U2AF1_S34F",39.3745819397993,18682922986116.4,59094184119922.7,"AML"
"U2AF1_S34F",39.5986622073579,19046960598922.3,59299293674790.6,"AML"
"U2AF1_S34F",39.8227424749164,19352533991073.3,59564943284482.5,"AML"
"U2AF1_S34F",40.0468227424749,19790234829148.9,59766149013225.7,"AML"
"U2AF1_S34F",40.2709030100334,20134657850361.7,59968683459039.7,"AML"
"U2AF1_S34F",40.494983277592,20486032636738.9,60126689230807.7,"AML"
"U2AF1_S34F",40.7190635451505,20903034576095.1,60377215046547.8,"AML"
"U2AF1_S34F",40.943143812709,21280552997773.5,60611712674844.2,"AML"
"U2AF1_S34F",41.1672240802676,21613490795381.1,60844122056469,"AML"
"U2AF1_S34F",41.3913043478261,21966478321770.6,61136339559689.6,"AML"
"U2AF1_S34F",41.6153846153846,22354108412475.7,61333619561809.2,"AML"
"U2AF1_S34F",41.8394648829431,22752423280858.1,61550163699433.7,"AML"
"U2AF1_S34F",42.0635451505017,23086457931000.4,61757369433322.6,"AML"
"U2AF1_S34F",42.2876254180602,23487079163771.5,62033645470540.7,"AML"
"U2AF1_S34F",42.5117056856187,23856221482137,62259690351133.6,"AML"
"U2AF1_S34F",42.7357859531773,24295593911281.7,62493313646141.4,"AML"
"U2AF1_S34F",42.9598662207358,24681153721035.3,62788019990665.3,"AML"
"U2AF1_S34F",43.1839464882943,25081718223781,63044288810312.8,"AML"
"U2AF1_S34F",43.4080267558528,25487028377625.9,63305714555343.4,"AML"
"U2AF1_S34F",43.6321070234114,25847878079754.7,63559638411615.1,"AML"
"U2AF1_S34F",43.8561872909699,26187433286521.1,63753404446834.5,"AML"
"U2AF1_S34F",44.0802675585284,26556481219933,64032871785781.9,"AML"
"U2AF1_S34F",44.304347826087,26926793373531.1,64334188337181,"AML"
"U2AF1_S34F",44.5284280936455,27337606205388.5,64584874139584.9,"AML"
"U2AF1_S34F",44.752508361204,27746260236139.8,64848493293429.2,"AML"
"U2AF1_S34F",44.9765886287625,28152017498701.5,65074200425056,"AML"
"U2AF1_S34F",45.2006688963211,28580238605844.3,65367176159592,"AML"
"U2AF1_S34F",45.4247491638796,29011126691808.7,65566692563131.7,"AML"
"U2AF1_S34F",45.6488294314381,29424666200709,65852826910250.1,"AML"
"U2AF1_S34F",45.8729096989967,29821127044478.5,66143894801085.3,"AML"
